nohup: ignoring input
开始加载标签数据...
标签数据加载完成.
开始多进程并行处理，共 124 个月份，进程数: 12
2016-11 完成，事件数: 6423 -> /data/processed/events_v2/2016-11.jsonl
2017-11 完成，事件数: 17303 -> /data/processed/events_v2/2017-11.jsonl
2018-11 完成，事件数: 11145 -> /data/processed/events_v2/2018-11.jsonl
2019-10 完成，事件数: 33044 -> /data/processed/events_v2/2019-10.jsonl
2021-02 完成，事件数: 9106 -> /data/processed/events_v2/2021-02.jsonl
2021-11 完成，事件数: 18489 -> /data/processed/events_v2/2021-11.jsonl
2022-12 完成，事件数: 26946 -> /data/processed/events_v2/2022-12.jsonl
2023-12 完成，事件数: 2787191 -> /data/processed/events_v2/2023-12.jsonl
2024-12 完成，事件数: 7088175 -> /data/processed/events_v2/2024-12.jsonl
2025-12 完成，事件数: 23940 -> /data/processed/events_v2/2025-12.jsonl
2026-01 完成，事件数: 22040 -> /data/processed/events_v2/2026-01.jsonl
2026-02 完成，事件数: 16089 -> /data/processed/events_v2/2026-02.jsonl
2026-03 完成，事件数: 10644 -> /data/processed/events_v2/2026-03.jsonl
2016-01 完成，事件数: 308 -> /data/processed/events_v2/2016-01.jsonl
2017-02 完成，事件数: 9666 -> /data/processed/events_v2/2017-02.jsonl
2018-02 完成，事件数: 19502 -> /data/processed/events_v2/2018-02.jsonl
2019-06 完成，事件数: 21898 -> /data/processed/events_v2/2019-06.jsonl
2020-05 完成，事件数: 14475 -> /data/processed/events_v2/2020-05.jsonl
2021-03 完成，事件数: 12616 -> /data/processed/events_v2/2021-03.jsonl
2022-03 完成，事件数: 20040 -> /data/processed/events_v2/2022-03.jsonl
2023-03 完成，事件数: 37800 -> /data/processed/events_v2/2023-03.jsonl
2024-03 完成，事件数: 3277526 -> /data/processed/events_v2/2024-03.jsonl
2025-03 完成，事件数: 8971768 -> /data/processed/events_v2/2025-03.jsonl
2016-04 完成，事件数: 608 -> /data/processed/events_v2/2016-04.jsonl
2017-04 完成，事件数: 10726 -> /data/processed/events_v2/2017-04.jsonl
2018-04 完成，事件数: 11251 -> /data/processed/events_v2/2018-04.jsonl
2019-03 完成，事件数: 18833 -> /data/processed/events_v2/2019-03.jsonl
2020-04 完成，事件数: 14478 -> /data/processed/events_v2/2020-04.jsonl
2021-01 完成，事件数: 12962 -> /data/processed/events_v2/2021-01.jsonl
2022-04 完成，事件数: 14797 -> /data/processed/events_v2/2022-04.jsonl
2023-01 完成，事件数: 26319 -> /data/processed/events_v2/2023-01.jsonl
2024-01 完成，事件数: 3164207 -> /data/processed/events_v2/2024-01.jsonl
2025-02 完成，事件数: 7066474 -> /data/processed/events_v2/2025-02.jsonl
2015-12 完成，事件数: 32 -> /data/processed/events_v2/2015-12.jsonl
2016-12 完成，事件数: 8353 -> /data/processed/events_v2/2016-12.jsonl
2017-12 完成，事件数: 18557 -> /data/processed/events_v2/2017-12.jsonl
2019-04 完成，事件数: 19156 -> /data/processed/events_v2/2019-04.jsonl
2020-03 完成，事件数: 21878 -> /data/processed/events_v2/2020-03.jsonl
2021-06 完成，事件数: 9938 -> /data/processed/events_v2/2021-06.jsonl
2021-12 完成，事件数: 22896 -> /data/processed/events_v2/2021-12.jsonl
2023-02 完成，事件数: 29244 -> /data/processed/events_v2/2023-02.jsonl
2024-02 完成，事件数: 2582057 -> /data/processed/events_v2/2024-02.jsonl
2025-01 完成，事件数: 7959149 -> /data/processed/events_v2/2025-01.jsonl
2016-10 完成，事件数: 6035 -> /data/processed/events_v2/2016-10.jsonl
2017-10 完成，事件数: 16508 -> /data/processed/events_v2/2017-10.jsonl
2018-10 完成，事件数: 11174 -> /data/processed/events_v2/2018-10.jsonl
