nohup: ignoring input
[full_import] start import_customer_to_neo4j
[customer] written=50000 total=50000 skipped=0
[customer] written=100000 total=100000 skipped=0
[customer] written=150000 total=150000 skipped=0
[customer] written=200000 total=200000 skipped=0
[customer] written=250000 total=250000 skipped=0
[customer] written=300000 total=300000 skipped=0
[customer] written=350000 total=350000 skipped=0
[customer] written=400000 total=400000 skipped=0
[customer] written=450000 total=450000 skipped=0
[customer] written=500000 total=500000 skipped=0
[customer] written=550000 total=550000 skipped=0
[customer] written=600000 total=600000 skipped=0
[customer] written=650000 total=650000 skipped=0
[customer] written=700000 total=700000 skipped=0
[customer] written=750000 total=750000 skipped=0
[customer] written=800000 total=800000 skipped=0
[customer] written=850000 total=850000 skipped=0
[customer] written=900000 total=900000 skipped=0
[customer] written=950000 total=950000 skipped=0
[customer] written=1000000 total=1000000 skipped=0
[customer] written=1050000 total=1050000 skipped=0
[customer] written=1100000 total=1100000 skipped=0
[customer] written=1150000 total=1150000 skipped=0
[customer] written=1200000 total=1200000 skipped=0
[customer] written=1250000 total=1250000 skipped=0
[customer] written=1300000 total=1300000 skipped=0
[customer] written=1350000 total=1350000 skipped=0
[customer] written=1400000 total=1400000 skipped=0
[customer] written=1450000 total=1450000 skipped=0
[customer] written=1500000 total=1500000 skipped=0
[customer] written=1550000 total=1550000 skipped=0
[customer] written=1600000 total=1600000 skipped=0
[customer] written=1650000 total=1650000 skipped=0
[customer] written=1700000 total=1700000 skipped=0
[customer] written=1750000 total=1750000 skipped=0
[customer] written=1800000 total=1800000 skipped=0
[customer] written=1850000 total=1850000 skipped=0
[customer] written=1900000 total=1900000 skipped=0
[customer] written=1950000 total=1950000 skipped=0
[customer] written=2000000 total=2000000 skipped=0
[customer] written=2050000 total=2050000 skipped=0
[customer] written=2100000 total=2100000 skipped=0
[customer] written=2150000 total=2150000 skipped=0
[customer] written=2200000 total=2200000 skipped=0
[customer] written=2250000 total=2250000 skipped=0
[customer] written=2300000 total=2300000 skipped=0
[customer] written=2350000 total=2350000 skipped=0
[customer] written=2400000 total=2400000 skipped=0
[customer] written=2450000 total=2450000 skipped=0
[customer] written=2500000 total=2500000 skipped=0
[customer] written=2550000 total=2550000 skipped=0
[customer] written=2600000 total=2600000 skipped=0
[customer] written=2650000 total=2650000 skipped=0
[customer] written=2700000 total=2700000 skipped=0
[customer] written=2750000 total=2750000 skipped=0
[customer] written=2800000 total=2800000 skipped=0
[customer] written=2850000 total=2850000 skipped=0
[customer] written=2900000 total=2900000 skipped=0
[customer] written=2950000 total=2950000 skipped=0
[customer] written=3000000 total=3000000 skipped=0
[customer] written=3050000 total=3050000 skipped=0
[customer] written=3100000 total=3100000 skipped=0
[customer] written=3150000 total=3150000 skipped=0
[customer] written=3200000 total=3200000 skipped=0
[customer] written=3250000 total=3250000 skipped=0
[customer] written=3300000 total=3300000 skipped=0
[customer] written=3350000 total=3350000 skipped=0
[customer] written=3400000 total=3400000 skipped=0
[customer] written=3450000 total=3450000 skipped=0
[customer] written=3500000 total=3500000 skipped=0
[customer] written=3550000 total=3550000 skipped=0
[customer] written=3600000 total=3600000 skipped=0
[customer] written=3650000 total=3650000 skipped=0
[customer] written=3700000 total=3700000 skipped=0
[customer] written=3750000 total=3750000 skipped=0
[customer] written=3800000 total=3800000 skipped=0
[customer] written=3850000 total=3850000 skipped=0
[customer] written=3900000 total=3900000 skipped=0
[customer] written=3950000 total=3950000 skipped=0
[customer] written=4000000 total=4000000 skipped=0
[customer] written=4050000 total=4050000 skipped=0
[customer] written=4100000 total=4100000 skipped=0
[customer] written=4150000 total=4150000 skipped=0
[customer] written=4200000 total=4200000 skipped=0
[customer] written=4250000 total=4250000 skipped=0
[customer] written=4300000 total=4300000 skipped=0
[customer] written=4350000 total=4350000 skipped=0
[customer] written=4400000 total=4400000 skipped=0
